name	count
Reitz	2
Related	3
Relations	6
Reliability	2
Religious	1
Renewable	11
Rental	1
Reorganization	1
Rep.	10
Reply	1
Report	403
Reporting	2
Reprentatives	1
Representative	12
Representative-Elect	3
Representatives	182
Representatives-Elect	1
Reproductive	2
Rept	9
Republic	25
Republican	4
Request	2
Required	1
Res	1563
Research	33
Reserve	13
Resident	2
Residential	3
Resolution	29
Resolve	1
Resources	19
Response	1
Responsibility	1
Restoration	7
Retaliation	2
Retirement	5
Rev.	96
Revenue	58
Reverend	48
Review	4
Reviews	1
Revised	1
Revisions	1
Revitalization	2
Revolving	2
Rhode	3
Ribble	11
Rice	13
Richard	3
Richmond	5
Rick	3
Rider	1
Ridge	2
Ridgeland	1
Ridley	2
Riffle	1
Right	1
Rights	9
Riordan	1
Ripp	2
Rises	1
Risk	3
Ritacco	1
Ritacoo	1
River	5
Road	4
Roanoke	1
Rob	4
Robert	9
Roberta	1
Robfogel	1
Robinette	1
Roby	4
Rochester	2
Rockford	1
Rockingham	2
Rod	1
Rodgers	4
Rodney	14
Roe	9
Rogers	17
Rohrabacher	18
Rokita	11
Roll	78
Roman	2
Romero	1
Ronald	1
Room	1
Rooney	15
Ros-Lehtinen	12
Roseburg	1
Roskam	4
Rothfus	28
Route	1
Rouzer	8
Roybal-Allard	6
Royce	23
Royel	1
Rsource	1
Rts	1
Rubenstein	1
Rudolph	2
Ruiz	7
Rul	1
Rule	253
Rules	167
Run	1
Runaway	1
